Tonnes Co2e,country_full,country,sector,subsector,start,end
,Bangladesh,BGD,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bangladesh,BGD,manufacturing,glass production,2020-01-01,2021-01-01
,Bangladesh,BGD,manufacturing,lime production,2020-01-01,2021-01-01
,Bangladesh,BGD,manufacturing,nitric acid production,2020-01-01,2021-01-01
3640463,Bangladesh,BGD,manufacturing,other manufacturing,2020-01-01,2021-01-01
2177793,Bangladesh,BGD,manufacturing,petrochemicals,2020-01-01,2021-01-01
8705,Bangladesh,BGD,manufacturing,pulp paper,2020-01-01,2021-01-01
2047142,Bangladesh,BGD,manufacturing,steel,2020-01-01,2021-01-01
875132,Bangladesh,BGD,maritime,shipping,2020-01-01,2021-01-01
5781363,Bangladesh,BGD,oil and gas,oil and gas production,2020-01-01,2021-01-01
273887,Bangladesh,BGD,oil and gas,oil refining,2020-01-01,2021-01-01
762800,Bangladesh,BGD,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
41194000,Bangladesh,BGD,power,electricity generation,2020-01-01,2021-01-01
429240,Bangladesh,BGD,power,other energy use,2020-01-01,2021-01-01
1148792,Bangladesh,BGD,transport,aviation,2020-01-01,2021-01-01
547,Bangladesh,BGD,transport,other transportation,2020-01-01,2021-01-01
1251957,Bangladesh,BGD,transport,railways,2020-01-01,2021-01-01
9604080,Bangladesh,BGD,transport,roads,2020-01-01,2021-01-01
0,Bangladesh,BGD,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
71120000,Bangladesh,BGD,waste,open burning waste,2020-01-01,2021-01-01
5264000,Bangladesh,BGD,waste,solid waste disposal,2020-01-01,2021-01-01
21308000,Bangladesh,BGD,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
317170,Bulgaria,BGR,agriculture,cropland fires,2020-01-01,2021-01-01
1481746,Bulgaria,BGR,agriculture,enteric fermentation,2020-01-01,2021-01-01
3481615,Bulgaria,BGR,agriculture,managed soils,2020-01-01,2021-01-01
372092,Bulgaria,BGR,agriculture,manure management,2020-01-01,2021-01-01
92652,Bulgaria,BGR,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Bulgaria,BGR,buildings,cooking,2020-01-01,2021-01-01
2252530,Bulgaria,BGR,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
1917360,Bulgaria,BGR,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bulgaria,BGR,extraction,bauxite mining,2020-01-01,2021-01-01
,Bulgaria,BGR,extraction,coal mining,2020-01-01,2021-01-01
64622,Bulgaria,BGR,extraction,copper mining,2020-01-01,2021-01-01
0,Bulgaria,BGR,extraction,iron mining,2020-01-01,2021-01-01
4971,Bulgaria,BGR,extraction,rock quarry,2020-01-01,2021-01-01
3439,Bulgaria,BGR,extraction,sand quarry,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,aluminum,2020-01-01,2021-01-01
1177398,Bulgaria,BGR,manufacturing,cement production,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,glass production,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,lime production,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,nitric acid production,2020-01-01,2021-01-01
5482568,Bulgaria,BGR,manufacturing,other manufacturing,2020-01-01,2021-01-01
1845873,Bulgaria,BGR,manufacturing,petrochemicals,2020-01-01,2021-01-01
200273,Bulgaria,BGR,manufacturing,pulp paper,2020-01-01,2021-01-01
,Bulgaria,BGR,manufacturing,steel,2020-01-01,2021-01-01
107201,Bulgaria,BGR,maritime,shipping,2020-01-01,2021-01-01
,Bulgaria,BGR,oil and gas,oil and gas production,2020-01-01,2021-01-01
1689476,Bulgaria,BGR,oil and gas,oil refining,2020-01-01,2021-01-01
1078412,Bulgaria,BGR,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
17182000,Bulgaria,BGR,power,electricity generation,2020-01-01,2021-01-01
1667764,Bulgaria,BGR,power,other energy use,2020-01-01,2021-01-01
413871,Bulgaria,BGR,transport,aviation,2020-01-01,2021-01-01
394197,Bulgaria,BGR,transport,other transportation,2020-01-01,2021-01-01
42667,Bulgaria,BGR,transport,railways,2020-01-01,2021-01-01
8830400,Bulgaria,BGR,transport,roads,2020-01-01,2021-01-01
4284,Bulgaria,BGR,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
71540,Bulgaria,BGR,waste,open burning waste,2020-01-01,2021-01-01
3668000,Bulgaria,BGR,waste,solid waste disposal,2020-01-01,2021-01-01
1086400,Bulgaria,BGR,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
1660,Bahrain,BHR,agriculture,cropland fires,2020-01-01,2021-01-01
22484,Bahrain,BHR,agriculture,enteric fermentation,2020-01-01,2021-01-01
39988,Bahrain,BHR,agriculture,managed soils,2020-01-01,2021-01-01
8862,Bahrain,BHR,agriculture,manure management,2020-01-01,2021-01-01
0,Bahrain,BHR,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Bahrain,BHR,buildings,cooking,2020-01-01,2021-01-01
0,Bahrain,BHR,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
275711,Bahrain,BHR,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bahrain,BHR,extraction,bauxite mining,2020-01-01,2021-01-01
,Bahrain,BHR,extraction,coal mining,2020-01-01,2021-01-01
0,Bahrain,BHR,extraction,copper mining,2020-01-01,2021-01-01
0,Bahrain,BHR,extraction,iron mining,2020-01-01,2021-01-01
0,Bahrain,BHR,extraction,rock quarry,2020-01-01,2021-01-01
0,Bahrain,BHR,extraction,sand quarry,2020-01-01,2021-01-01
2804036,Bahrain,BHR,manufacturing,aluminum,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,cement production,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,glass production,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,lime production,2020-01-01,2021-01-01
,Bahrain,BHR,manufacturing,nitric acid production,2020-01-01,2021-01-01
1318547,Bahrain,BHR,manufacturing,other manufacturing,2020-01-01,2021-01-01
904157,Bahrain,BHR,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Bahrain,BHR,manufacturing,pulp paper,2020-01-01,2021-01-01
451921,Bahrain,BHR,manufacturing,steel,2020-01-01,2021-01-01
57497,Bahrain,BHR,maritime,shipping,2020-01-01,2021-01-01
6795011,Bahrain,BHR,oil and gas,oil and gas production,2020-01-01,2021-01-01
3416400,Bahrain,BHR,oil and gas,oil refining,2020-01-01,2021-01-01
0,Bahrain,BHR,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
19810000,Bahrain,BHR,power,electricity generation,2020-01-01,2021-01-01
1151760,Bahrain,BHR,power,other energy use,2020-01-01,2021-01-01
530023,Bahrain,BHR,transport,aviation,2020-01-01,2021-01-01
0,Bahrain,BHR,transport,other transportation,2020-01-01,2021-01-01
0,Bahrain,BHR,transport,railways,2020-01-01,2021-01-01
3787028,Bahrain,BHR,transport,roads,2020-01-01,2021-01-01
0,Bahrain,BHR,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Bahrain,BHR,waste,open burning waste,2020-01-01,2021-01-01
593600,Bahrain,BHR,waste,solid waste disposal,2020-01-01,2021-01-01
403200,Bahrain,BHR,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
906,Bahamas,BHS,agriculture,cropland fires,2020-01-01,2021-01-01
4637,Bahamas,BHS,agriculture,enteric fermentation,2020-01-01,2021-01-01
11236,Bahamas,BHS,agriculture,managed soils,2020-01-01,2021-01-01
3720,Bahamas,BHS,agriculture,manure management,2020-01-01,2021-01-01
0,Bahamas,BHS,agriculture,rice cultivation,2020-01-01,2021-01-01
33900,Bahamas,BHS,buildings,cooking,2020-01-01,2021-01-01
0,Bahamas,BHS,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
331056,Bahamas,BHS,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bahamas,BHS,extraction,bauxite mining,2020-01-01,2021-01-01
,Bahamas,BHS,extraction,coal mining,2020-01-01,2021-01-01
0,Bahamas,BHS,extraction,copper mining,2020-01-01,2021-01-01
0,Bahamas,BHS,extraction,iron mining,2020-01-01,2021-01-01
2412,Bahamas,BHS,extraction,rock quarry,2020-01-01,2021-01-01
13,Bahamas,BHS,extraction,sand quarry,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,aluminum,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,cement production,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,glass production,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,lime production,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,nitric acid production,2020-01-01,2021-01-01
157187,Bahamas,BHS,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Bahamas,BHS,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Bahamas,BHS,manufacturing,pulp paper,2020-01-01,2021-01-01
,Bahamas,BHS,manufacturing,steel,2020-01-01,2021-01-01
39562422,Bahamas,BHS,maritime,shipping,2020-01-01,2021-01-01
0,Bahamas,BHS,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Bahamas,BHS,oil and gas,oil refining,2020-01-01,2021-01-01
294,Bahamas,BHS,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
1578000,Bahamas,BHS,power,electricity generation,2020-01-01,2021-01-01
0,Bahamas,BHS,power,other energy use,2020-01-01,2021-01-01
166525,Bahamas,BHS,transport,aviation,2020-01-01,2021-01-01
48355,Bahamas,BHS,transport,other transportation,2020-01-01,2021-01-01
0,Bahamas,BHS,transport,railways,2020-01-01,2021-01-01
809428,Bahamas,BHS,transport,roads,2020-01-01,2021-01-01
0,Bahamas,BHS,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
916,Bahamas,BHS,waste,open burning waste,2020-01-01,2021-01-01
269640,Bahamas,BHS,waste,solid waste disposal,2020-01-01,2021-01-01
56280,Bahamas,BHS,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
104685,Bosnia and Herzegovina,BIH,agriculture,cropland fires,2020-01-01,2021-01-01
1309171,Bosnia and Herzegovina,BIH,agriculture,enteric fermentation,2020-01-01,2021-01-01
731043,Bosnia and Herzegovina,BIH,agriculture,managed soils,2020-01-01,2021-01-01
405986,Bosnia and Herzegovina,BIH,agriculture,manure management,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,agriculture,rice cultivation,2020-01-01,2021-01-01
100157,Bosnia and Herzegovina,BIH,buildings,cooking,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
1230240,Bosnia and Herzegovina,BIH,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,extraction,bauxite mining,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,extraction,coal mining,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,extraction,copper mining,2020-01-01,2021-01-01
14325,Bosnia and Herzegovina,BIH,extraction,iron mining,2020-01-01,2021-01-01
4802,Bosnia and Herzegovina,BIH,extraction,rock quarry,2020-01-01,2021-01-01
2842,Bosnia and Herzegovina,BIH,extraction,sand quarry,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,aluminum,2020-01-01,2021-01-01
432406,Bosnia and Herzegovina,BIH,manufacturing,cement production,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,glass production,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,lime production,2020-01-01,2021-01-01
,Bosnia and Herzegovina,BIH,manufacturing,nitric acid production,2020-01-01,2021-01-01
2288225,Bosnia and Herzegovina,BIH,manufacturing,other manufacturing,2020-01-01,2021-01-01
48104,Bosnia and Herzegovina,BIH,manufacturing,petrochemicals,2020-01-01,2021-01-01
96277,Bosnia and Herzegovina,BIH,manufacturing,pulp paper,2020-01-01,2021-01-01
205764,Bosnia and Herzegovina,BIH,manufacturing,steel,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,maritime,shipping,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,oil and gas,oil refining,2020-01-01,2021-01-01
3417240,Bosnia and Herzegovina,BIH,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
12122000,Bosnia and Herzegovina,BIH,power,electricity generation,2020-01-01,2021-01-01
1748973,Bosnia and Herzegovina,BIH,power,other energy use,2020-01-01,2021-01-01
64999,Bosnia and Herzegovina,BIH,transport,aviation,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,transport,other transportation,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,transport,railways,2020-01-01,2021-01-01
3632068,Bosnia and Herzegovina,BIH,transport,roads,2020-01-01,2021-01-01
0,Bosnia and Herzegovina,BIH,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
3710,Bosnia and Herzegovina,BIH,waste,open burning waste,2020-01-01,2021-01-01
529200,Bosnia and Herzegovina,BIH,waste,solid waste disposal,2020-01-01,2021-01-01
308000,Bosnia and Herzegovina,BIH,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,agriculture,cropland fires,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,agriculture,enteric fermentation,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,agriculture,managed soils,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,agriculture,manure management,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,buildings,cooking,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,extraction,bauxite mining,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,extraction,coal mining,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,extraction,copper mining,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,extraction,iron mining,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,extraction,rock quarry,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,extraction,sand quarry,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,aluminum,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,cement production,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,glass production,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,lime production,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,nitric acid production,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,manufacturing,pulp paper,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,manufacturing,steel,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,maritime,shipping,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,oil and gas,oil refining,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,power,electricity generation,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,power,other energy use,2020-01-01,2021-01-01
5981,Saint Barthélemy,BLM,transport,aviation,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,transport,other transportation,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,transport,railways,2020-01-01,2021-01-01
,Saint Barthélemy,BLM,transport,roads,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,waste,open burning waste,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,waste,solid waste disposal,2020-01-01,2021-01-01
0,Saint Barthélemy,BLM,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
187062,Belarus,BLR,agriculture,cropland fires,2020-01-01,2021-01-01
8862258,Belarus,BLR,agriculture,enteric fermentation,2020-01-01,2021-01-01
30091105,Belarus,BLR,agriculture,managed soils,2020-01-01,2021-01-01
2156688,Belarus,BLR,agriculture,manure management,2020-01-01,2021-01-01
0,Belarus,BLR,agriculture,rice cultivation,2020-01-01,2021-01-01
0,Belarus,BLR,buildings,cooking,2020-01-01,2021-01-01
0,Belarus,BLR,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
7810048,Belarus,BLR,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Belarus,BLR,extraction,bauxite mining,2020-01-01,2021-01-01
,Belarus,BLR,extraction,coal mining,2020-01-01,2021-01-01
0,Belarus,BLR,extraction,copper mining,2020-01-01,2021-01-01
0,Belarus,BLR,extraction,iron mining,2020-01-01,2021-01-01
2021,Belarus,BLR,extraction,rock quarry,2020-01-01,2021-01-01
2099,Belarus,BLR,extraction,sand quarry,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,aluminum,2020-01-01,2021-01-01
2305202,Belarus,BLR,manufacturing,cement production,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,glass production,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,lime production,2020-01-01,2021-01-01
,Belarus,BLR,manufacturing,nitric acid production,2020-01-01,2021-01-01
4841660,Belarus,BLR,manufacturing,other manufacturing,2020-01-01,2021-01-01
2733647,Belarus,BLR,manufacturing,petrochemicals,2020-01-01,2021-01-01
101116,Belarus,BLR,manufacturing,pulp paper,2020-01-01,2021-01-01
672622,Belarus,BLR,manufacturing,steel,2020-01-01,2021-01-01
0,Belarus,BLR,maritime,shipping,2020-01-01,2021-01-01
,Belarus,BLR,oil and gas,oil and gas production,2020-01-01,2021-01-01
5829405,Belarus,BLR,oil and gas,oil refining,2020-01-01,2021-01-01
144504,Belarus,BLR,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
14308000,Belarus,BLR,power,electricity generation,2020-01-01,2021-01-01
16031932,Belarus,BLR,power,other energy use,2020-01-01,2021-01-01
175076,Belarus,BLR,transport,aviation,2020-01-01,2021-01-01
1100552,Belarus,BLR,transport,other transportation,2020-01-01,2021-01-01
613932,Belarus,BLR,transport,railways,2020-01-01,2021-01-01
10142569,Belarus,BLR,transport,roads,2020-01-01,2021-01-01
0,Belarus,BLR,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Belarus,BLR,waste,open burning waste,2020-01-01,2021-01-01
4536000,Belarus,BLR,waste,solid waste disposal,2020-01-01,2021-01-01
817600,Belarus,BLR,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
148883,Belize,BLZ,agriculture,cropland fires,2020-01-01,2021-01-01
198108,Belize,BLZ,agriculture,enteric fermentation,2020-01-01,2021-01-01
353397,Belize,BLZ,agriculture,managed soils,2020-01-01,2021-01-01
8494,Belize,BLZ,agriculture,manure management,2020-01-01,2021-01-01
1876,Belize,BLZ,agriculture,rice cultivation,2020-01-01,2021-01-01
6510,Belize,BLZ,buildings,cooking,2020-01-01,2021-01-01
0,Belize,BLZ,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
64053,Belize,BLZ,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Belize,BLZ,extraction,bauxite mining,2020-01-01,2021-01-01
,Belize,BLZ,extraction,coal mining,2020-01-01,2021-01-01
0,Belize,BLZ,extraction,copper mining,2020-01-01,2021-01-01
0,Belize,BLZ,extraction,iron mining,2020-01-01,2021-01-01
539,Belize,BLZ,extraction,rock quarry,2020-01-01,2021-01-01
101,Belize,BLZ,extraction,sand quarry,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,aluminum,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,cement production,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,glass production,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,lime production,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,nitric acid production,2020-01-01,2021-01-01
31022,Belize,BLZ,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Belize,BLZ,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Belize,BLZ,manufacturing,pulp paper,2020-01-01,2021-01-01
,Belize,BLZ,manufacturing,steel,2020-01-01,2021-01-01
2744751,Belize,BLZ,maritime,shipping,2020-01-01,2021-01-01
,Belize,BLZ,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Belize,BLZ,oil and gas,oil refining,2020-01-01,2021-01-01
192,Belize,BLZ,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
236000,Belize,BLZ,power,electricity generation,2020-01-01,2021-01-01
0,Belize,BLZ,power,other energy use,2020-01-01,2021-01-01
54934,Belize,BLZ,transport,aviation,2020-01-01,2021-01-01
9301,Belize,BLZ,transport,other transportation,2020-01-01,2021-01-01
0,Belize,BLZ,transport,railways,2020-01-01,2021-01-01
155468,Belize,BLZ,transport,roads,2020-01-01,2021-01-01
0,Belize,BLZ,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
9044,Belize,BLZ,waste,open burning waste,2020-01-01,2021-01-01
201320,Belize,BLZ,waste,solid waste disposal,2020-01-01,2021-01-01
69720,Belize,BLZ,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
,Bermuda,BMU,agriculture,cropland fires,2020-01-01,2021-01-01
,Bermuda,BMU,agriculture,enteric fermentation,2020-01-01,2021-01-01
106,Bermuda,BMU,agriculture,managed soils,2020-01-01,2021-01-01
,Bermuda,BMU,agriculture,manure management,2020-01-01,2021-01-01
0,Bermuda,BMU,agriculture,rice cultivation,2020-01-01,2021-01-01
8880,Bermuda,BMU,buildings,cooking,2020-01-01,2021-01-01
0,Bermuda,BMU,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
106170,Bermuda,BMU,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bermuda,BMU,extraction,bauxite mining,2020-01-01,2021-01-01
,Bermuda,BMU,extraction,coal mining,2020-01-01,2021-01-01
0,Bermuda,BMU,extraction,copper mining,2020-01-01,2021-01-01
0,Bermuda,BMU,extraction,iron mining,2020-01-01,2021-01-01
0,Bermuda,BMU,extraction,rock quarry,2020-01-01,2021-01-01
0,Bermuda,BMU,extraction,sand quarry,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,aluminum,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,cement production,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,glass production,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,lime production,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,nitric acid production,2020-01-01,2021-01-01
46545,Bermuda,BMU,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Bermuda,BMU,manufacturing,petrochemicals,2020-01-01,2021-01-01
0,Bermuda,BMU,manufacturing,pulp paper,2020-01-01,2021-01-01
,Bermuda,BMU,manufacturing,steel,2020-01-01,2021-01-01
9979761,Bermuda,BMU,maritime,shipping,2020-01-01,2021-01-01
0,Bermuda,BMU,oil and gas,oil and gas production,2020-01-01,2021-01-01
0,Bermuda,BMU,oil and gas,oil refining,2020-01-01,2021-01-01
11284,Bermuda,BMU,oil and gas,solid fuel transformation,2020-01-01,2021-01-01
504000,Bermuda,BMU,power,electricity generation,2020-01-01,2021-01-01
0,Bermuda,BMU,power,other energy use,2020-01-01,2021-01-01
50844,Bermuda,BMU,transport,aviation,2020-01-01,2021-01-01
12714,Bermuda,BMU,transport,other transportation,2020-01-01,2021-01-01
0,Bermuda,BMU,transport,railways,2020-01-01,2021-01-01
212638,Bermuda,BMU,transport,roads,2020-01-01,2021-01-01
0,Bermuda,BMU,waste,biological treatment of solid waste and biogenic,2020-01-01,2021-01-01
0,Bermuda,BMU,waste,open burning waste,2020-01-01,2021-01-01
15540,Bermuda,BMU,waste,solid waste disposal,2020-01-01,2021-01-01
8204,Bermuda,BMU,waste,wastewater treatment and discharge,2020-01-01,2021-01-01
350485,Bolivia (Plurinational State of),BOL,agriculture,cropland fires,2020-01-01,2021-01-01
19785024,Bolivia (Plurinational State of),BOL,agriculture,enteric fermentation,2020-01-01,2021-01-01
5269764,Bolivia (Plurinational State of),BOL,agriculture,managed soils,2020-01-01,2021-01-01
1028337,Bolivia (Plurinational State of),BOL,agriculture,manure management,2020-01-01,2021-01-01
367052,Bolivia (Plurinational State of),BOL,agriculture,rice cultivation,2020-01-01,2021-01-01
2300000,Bolivia (Plurinational State of),BOL,buildings,cooking,2020-01-01,2021-01-01
0,Bolivia (Plurinational State of),BOL,buildings,refrigeration air conditioning,2020-01-01,2021-01-01
3814420,Bolivia (Plurinational State of),BOL,buildings,residential commercial onsite heating,2020-01-01,2021-01-01
0,Bolivia (Plurinational State of),BOL,extraction,bauxite mining,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,extraction,coal mining,2020-01-01,2021-01-01
10552,Bolivia (Plurinational State of),BOL,extraction,copper mining,2020-01-01,2021-01-01
0,Bolivia (Plurinational State of),BOL,extraction,iron mining,2020-01-01,2021-01-01
10846,Bolivia (Plurinational State of),BOL,extraction,rock quarry,2020-01-01,2021-01-01
2565,Bolivia (Plurinational State of),BOL,extraction,sand quarry,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,aluminum,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,cement production,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,fluorchemical production,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,food processing beverages tobbaco,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,glass production,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,lime production,2020-01-01,2021-01-01
,Bolivia (Plurinational State of),BOL,manufacturing,nitric acid production,2020-01-01,2021-01-01
3412821,Bolivia (Plurinational State of),BOL,manufacturing,other manufacturing,2020-01-01,2021-01-01
0,Bolivia (Plurinational State of),BOL,manufacturing,petrochemicals,2020-01-01,2021-01-01
