"","country code","country name","emissions.agriculture","emissions.buildings","emissions.extraction","emissions.manufacturing","emissions.maritime","emissions.oil and gas","emissions.power","emissions.transport","emissions.waste","emissions.total","GDP","net_zero_target"
"NZL","NZL","New Zealand",42294699,4944068,35423,9122946,415904,1817914,7472000,15088266,4530230,85721450,211734532308.013,2050
"PAN","PAN","Panama",4633806,802673,851,2663302,153315291,2884,1992332,5120376,2086000,170617515,53977037000,2050
"PRT","PRT","Portugal",7139464,7475722,105881,9990390,16312125,2486596,12548844,19825700,4699216,80583938,228539245045.341,2050
"ROU","ROU","Romania",15312360,14347352,54135,21620576,269,4854986,21865296,18794006,7685480,104534460,249511333647.502,2050
"RUS","RUS","Russian Federation",125281905,249432378,2128673,389894493,7719289,534671526,781139436,238272185,105182868,2433722753,1488321875489.74,2060
"SAU","SAU","Saudi Arabia",5958851,4532530,234074,200034729,3159301,130968939,268582000,117649562,29904000,761023986,703367841222.555,2060
"SGP","SGP","Singapore",15916,600630,0,22743502,66437381,17149270,34600000,11308786,5040400,157895885,345295933898.674,2021
"SVN","SVN","Slovenia",1716145,1717889,4542,4097643,0,840000,4763200,5180218,547388,18867025,53589609580.7099,2050
"SWE","SWE","Sweden",11542786,2921437,422006,12600460,3751567,5163003,8221800,18694861,7902976,71220896,541487151474.557,2045
"THA","THA","Thailand",72388578,15358016,115050,79565785,2617810,27472849,96245000,78125964,91745400,463634452,499681757030.968,2050
"TUR","TUR","Turkey",49479775,73363497,613964,112222709,5268699,18176336,128161000,83823888,59054637,530164505,719954821683.31,2053
"UKR","UKR","Ukraine",39898170,31422673,471150,47666770,107807,19987735,86595004,26428792,9111322,261689423,156617861448.576,2060
"URY","URY","Uruguay",26449214,1174886,1421,1661908,36325,649700,2520000,4183739,6658330,43335523,53560755046.5726,2050
"USA","USA","United States of America",398331849,759215132,3521134,642531281,8465670,1011389595,1600399000,1614126653,142503200,6180483514,20893743833000,2050
"VNM","VNM","Viet Nam",76767974,22340000,428530,116996090,3013204,23635915,136969000,42008978,77773200,499932891,343242570827.351,2050
"ZAF","ZAF","South Africa",27070441,45654400,358996,59708006,62591,62898555,218429840,54600236,24951864,493734929,335442101366.417,2050
